movie,genre
1,1
1,2
1,4
1,8
2,1
2,8
3,4
3,13
4,4
4,7
4,13
5,4
6,0
6,5
6,15
7,4
7,13
8,1
9,0
10,0
10,1
10,15
12,4
12,10
13,1
13,2
14,7
15,0
15,1
15,13
16,5
16,7
17,7
17,13
18,4
19,4
20,0
20,4
20,5
20,7
20,15
21,4
21,5
21,15
22,5
22,7
22,10
22,12
22,15
23,0
23,5
23,15
24,7
24,14
25,7
25,13
26,7
27,7
28,7
28,13
30,5
30,7
31,7
32,12
32,14
32,15
33,1
33,13
34,7
35,7
35,13
36,5
36,7
37,6
38,4
39,4
39,13
41,7
41,16
42,0
42,5
42,7
43,7
44,0
44,1
44,8
45,4
45,7
45,15
46,7
46,13
47,12
47,15
48,2
48,7
48,11
48,13
49,7
49,13
51,0
51,7
51,15
52,4
52,7
52,13
53,1
53,7
55,7
56,1
56,4
56,8
57,7
61,7
61,15
62,7
63,4
63,5
64,4
64,13
65,4
66,0
66,14
66,15
67,7
68,4
68,13
69,4
70,0
70,4
70,10
70,15
71,0
72,4
72,7
74,7
74,13
75,4
75,7
76,0
76,14
76,15
77,6
81,5
81,7
81,13
82,4
82,7
83,7
83,13
84,4
84,7
85,7
85,13
86,0
86,1
86,7
87,4
88,4
89,0
89,15
90,7
92,7
92,10
92,15
93,4
93,10
93,13
94,4
94,7
94,13
95,0
95,1
95,15
96,4
96,7
98,0
98,15
99,6
100,7
100,15
101,1
101,4
101,5
101,13
102,4
103,12
103,14
103,15
104,4
106,4
106,7
107,1
107,4
107,11
108,6
109,4
109,7
109,15
110,0
110,7
110,16
111,5
111,7
111,15
112,0
112,1
112,4
112,5
113,7
113,12
114,7
116,6
118,4
118,13
120,1
120,4
120,7
122,4
122,13
123,7
123,12
123,13
125,4
128,6
129,4
129,13
130,7
131,7
131,13
132,15
133,4
133,7
134,6
135,4
136,6
137,6
139,0
139,7
140,7
140,13
142,7
143,7
145,0
145,4
145,5
145,7
145,15
149,5
149,7
149,15
150,1
150,7
151,0
151,7
151,13
151,16
153,0
153,1
153,4
153,5
154,7
155,1
155,7
155,16
156,4
156,7
157,4
157,16
158,1
159,5
159,7
159,12
160,0
160,1
160,12
160,14
161,7
161,15
161,16
162,6
163,0
163,13
163,17
164,5
164,9
164,12
164,15
165,0
165,5
165,15
167,7
168,0
168,7
168,13
169,1
169,7
170,0
170,1
170,5
170,15
171,4
171,7
172,0
172,14
172,15
173,0
173,5
173,14
174,4
175,7
176,4
177,10
178,4
178,7
179,7
179,13
180,4
180,13
181,0
182,7
182,13
183,4
183,10
183,15
184,7
186,4
186,13
187,4
189,4
189,8
190,15
192,6
193,7
194,4
194,7
195,4
195,7
195,13
196,10
196,14
198,0
198,5
198,7
198,12
198,14
198,15
201,7
201,8
202,7
202,13
204,0
205,4
205,7
206,6
208,0
208,1
208,14
209,7
210,17
212,1
212,4
212,5
212,12
213,7
214,7
214,16
215,7
215,13
216,4
218,4
218,7
220,10
222,7
222,13
223,4
224,4
224,7
224,13
225,7
225,15
226,15
227,0
227,15
228,4
229,7
229,15
230,7
230,15
231,1
231,4
232,4
232,7
232,13
233,7
234,4
235,4
235,7
236,0
236,4
236,13
237,4
237,13
238,1
240,15
241,7
242,7
242,11
243,4
243,8
244,2
245,5
245,7
246,6
247,5
247,7
248,4
249,7
249,13
250,4
252,4
252,13
253,7
253,10
254,7
256,4
256,14
257,12
257,15
259,5
259,7
259,15
260,0
260,1
260,14
261,7
263,7
265,7
265,8
265,13
266,7
266,13
266,16
266,17
267,4
268,5
268,7
269,7
270,7
270,13
271,7
273,7
273,10
273,14
274,4
275,4
276,4
276,13
277,7
278,4
279,7
280,7
280,15
281,4
281,7
281,13
282,7
283,5
283,7
284,0
284,5
285,7
285,10
286,0
286,14
286,15
287,4
287,13
288,0
288,5
288,15
289,4
289,13
290,5
290,7
292,0
292,7
292,14
292,15
293,0
293,5
293,7
293,15
296,4
296,5
296,7
296,15
297,7
298,7
299,7
300,7
301,7
301,13
304,4
304,7
305,4
306,7
307,7
308,4
308,7
310,4
311,10
311,15
312,4
316,0
316,1
316,14
319,4
319,7
319,15
320,9
320,15
321,7
322,4
322,7
325,4
326,7
327,0
327,4
327,14
328,10
328,15
329,1
329,7
329,14
330,0
330,5
330,10
331,7
332,10
332,14
333,4
334,7
335,12
335,15
337,7
338,0
338,14
338,15
339,4
339,13
341,7
342,4
344,4
346,7
346,11
347,7
347,9
347,13
348,4
349,0
349,5
349,7
349,15
352,4
352,7
354,7
356,4
356,7
356,13
356,16
357,4
357,13
358,7
359,4
359,7
359,13
360,0
360,4
361,4
361,7
361,13
365,7
368,1
368,4
368,17
369,7
370,0
370,4
372,4
372,7
372,13
373,15
374,4
375,7
377,0
377,13
377,15
378,4
378,13
379,0
379,14
379,15
380,0
380,1
380,4
380,13
380,15
381,7
381,13
382,7
382,10
382,13
382,15
383,17
384,0
384,5
384,7
386,7
388,7
390,0
390,5
390,7
391,5
391,7
393,0
393,1
393,8
394,4
395,7
395,8
395,13
396,7
398,6
399,7
400,7
401,0
401,15
402,4
403,4
403,5
403,7
404,6
405,0
405,8
406,7
407,10
407,15
408,7
409,5
409,7
410,4
410,8
411,4
411,6
413,4
415,4
415,15
416,17
417,4
417,13
418,7
420,0
420,4
420,5
420,15
421,1
421,7
422,15
423,0
423,15
424,7
425,7
425,13
426,10
426,14
426,15
427,7
427,12
427,13
427,15
429,4
430,4
430,7
431,5
431,7
432,1
432,4
432,17
433,4
434,0
434,1
434,15
435,4
435,14
436,7
436,15
437,4
439,7
440,4
440,13
441,4
442,0
442,1
442,14
444,4
444,13
445,4
446,7
446,13
448,7
449,4
450,4
450,7
451,7
451,12
451,13
452,7
453,4
453,13
455,1
455,7
456,5
456,7
456,15
458,7
458,17
460,4
461,7
461,13
463,5
463,7
463,15
464,0
464,1
464,5
464,15
465,0
465,7
465,16
466,0
466,4
466,16
467,4
470,4
472,4
472,7
473,4
473,16
474,0
474,15
475,7
477,7
477,11
478,4
478,5
478,7
479,0
479,5
479,15
480,0
480,1
480,14
480,15
481,7
481,15
482,5
482,7
482,15
483,7
484,1
485,0
485,1
485,4
485,8
486,4
487,4
487,17
488,7
488,13
489,4
490,15
492,4
492,12
493,0
493,5
493,7
494,0
494,1
494,15
495,7
496,4
496,7
496,13
496,15
497,4
497,13
498,7
498,13
499,4
499,13
500,4
500,7
501,7
504,0
504,7
504,14
505,4
506,7
506,8
506,13
508,7
510,7
513,4
513,12
513,13
516,4
516,7
517,0
517,7
517,12
519,0
519,5
519,7
519,14
519,15
520,4
521,5
521,15
522,0
522,7
523,7
524,7
527,7
527,16
529,7
530,7
532,4
532,5
532,10
534,7
534,13
535,7
537,7
538,7
539,4
539,7
539,13
540,15
541,0
541,14
541,15
542,4
542,7
542,13
543,4
543,13
543,15
544,0
544,5
546,0
546,1
546,4
546,8
546,14
547,0
547,1
547,15
548,0
548,12
548,15
549,7
549,11
550,4
550,13
553,0
553,7
553,17
554,5
554,7
554,15
555,5
555,15
561,7
561,15
562,4
562,7
563,7
563,13
564,4
565,7
565,10
566,4
566,13
567,4
567,7
568,4
568,7
569,4
569,7
572,7
574,4
574,7
576,4
577,1
577,7
580,7
582,4
582,7
583,4
583,7
584,7
584,13
586,4
587,4
587,7
587,8
587,13
587,15
588,1
588,2
588,4
588,11
589,0
589,14
590,1
590,7
590,17
591,0
591,7
591,15
592,0
592,5
592,15
594,2
594,7
594,8
594,11
595,2
595,8
595,11
595,13
596,2
596,8
596,11
597,4
597,13
598,4
598,8
600,0
600,4
600,5
604,6
605,7
605,13
606,8
606,10
607,7
608,4
608,5
608,7
608,15
609,1
610,0
610,1
610,2
610,10
610,14
611,0
611,10
611,14
613,7
613,13
614,7
614,15
615,4
615,7
618,4
618,13
619,4
620,7
621,7
625,7
628,5
628,7
628,12
628,15
629,7
630,7
630,13
631,1
631,2
631,8
631,11
631,13
632,7
632,16
633,4
634,4
636,7
637,4
638,13
639,4
639,7
640,7
640,15
642,7
643,4
644,4
645,7
647,0
647,5
647,7
647,16
648,0
648,1
648,12
648,15
649,4
649,7
650,7
653,0
653,1
653,8
654,7
654,13
655,4
656,4
657,4
657,7
658,7
658,11
659,5
659,7
659,15
660,7
661,1
661,2
661,8
661,11
662,15
663,4
664,4
665,4
665,7
665,16
666,7
666,13
666,16
667,0
668,7
671,4
671,14
672,7
673,1
673,2
673,4
673,8
673,14
674,1
674,4
674,14
675,0
675,7
675,15
676,4
676,10
676,14
678,7
678,15
681,5
682,6
682,7
684,7
685,7
687,7
687,13
688,0
688,1
688,4
688,16
691,4
691,13
692,0
692,14
692,15
693,7
695,12
695,15
696,7
696,15
697,7
697,13
698,7
699,7
700,4
701,7
702,7
703,7
705,4
706,7
707,5
707,7
707,15
709,1
709,2
709,4
709,11
710,4
711,1
712,5
712,7
712,13
712,15
713,7
714,7
714,12
714,17
716,5
717,4
719,4
720,1
720,2
720,4
721,7
723,7
726,7
727,6
728,4
730,7
731,5
731,15
732,5
734,4
735,10
736,0
736,1
736,13
736,15
737,0
737,14
739,4
741,2
741,14
742,10
742,15
743,4
744,7
745,2
745,4
746,9
750,4
750,16
751,4
751,10
752,4
752,6
752,13
754,1
755,7
756,6
757,7
759,6
760,7
760,16
762,4
762,5
764,7
764,13
765,4
765,7
766,7
768,7
769,6
770,7
772,4
773,7
774,7
775,10
775,12
776,4
776,7
777,16
778,4
778,5
778,7
779,7
779,13
780,0
780,1
780,14
780,15
781,7
785,4
786,0
786,7
786,15
793,7
794,4
794,7
795,7
798,0
798,1
798,7
798,15
800,7
800,12
800,17
801,4
802,7
802,13
803,4
803,7
803,13
804,4
804,13
806,5
806,7
808,1
809,0
809,1
810,4
810,8
812,7
813,4
815,0
815,12
815,15
816,7
819,4
819,7
822,7
822,13
822,16
824,7
824,12
825,4
825,13
826,7
829,4
829,8
829,11
831,7
832,5
832,15
833,4
834,4
835,7
836,0
836,1
836,15
837,4
837,8
838,4
838,7
838,13
840,4
842,4
842,10
843,7
846,7
849,0
849,1
849,14
849,15
850,5
850,7
851,7
852,4
852,7
852,13
853,7
855,7
856,4
857,7
861,0
861,4
861,5
861,15
862,7
865,7
866,5
866,7
866,13
866,15
867,4
867,5
868,4
869,5
869,7
869,11
869,15
870,4
871,4
872,7
873,7
874,5
874,7
875,0
875,5
875,7
876,0
876,4
876,5
876,15
877,4
877,7
878,7
881,4
884,7
885,7
885,8
886,0
886,4
886,5
887,7
889,7
889,13
890,15
891,10
891,15
892,4
892,7
892,13
893,7
894,13
895,7
896,7
897,1
897,7
897,13
897,16
899,4
899,11
899,13
901,4
901,11
902,7
902,13
903,7
903,12
903,13
903,15
904,12
904,15
905,4
905,13
906,7
906,15
908,0
908,1
908,12
908,13
908,15
910,4
910,5
911,4
911,5
911,12
911,13
911,15
912,7
912,13
914,4
914,7
914,11
914,13
915,4
915,13
916,4
916,7
916,13
918,11
920,7
920,13
920,16
921,4
922,7
922,9
922,13
923,7
923,12
924,1
924,7
924,14
925,1
925,13
925,16
926,7
928,7
928,12
928,13
928,15
929,7
929,9
929,12
929,15
930,9
930,13
930,15
931,12
931,13
931,15
933,5
933,12
933,13
933,15
934,4
936,4
936,13
937,4
937,13
938,11
942,5
942,9
942,12
944,7
945,4
945,11
945,13
946,4
946,7
946,16
947,4
947,13
948,7
948,13
948,17
949,7
951,4
951,13
952,1
952,4
953,7
953,8
953,13
954,7
955,4
955,13
956,7
956,13
958,4
958,12
959,7
960,5
960,7
961,7
962,5
962,7
964,13
964,17
966,7
966,16
968,10
968,14
968,15
970,1
970,4
970,5
970,7
970,13
971,7
973,4
973,7
974,7
974,13
975,4
975,11
977,12
979,7
979,16
981,7
982,7
983,13
985,6
986,1
987,7
987,13
988,4
988,7
989,7
990,0
990,1
990,15
991,7
993,7
994,4
994,7
996,0
996,5
996,7
996,15
997,7
997,15
998,0
998,5
999,5
999,9
1000,5
1002,4
1002,13
1003,7
1003,15
1005,4
1009,1
1009,8
1011,4
1011,8
1011,13
1012,7
1014,4
1014,7
1015,1
1015,7
1017,1
1018,4
1018,12
1020,4
1021,4
1022,2
1022,8
1022,11
1022,13
1023,2
1023,11
1026,7
1027,1
1027,7
1028,4
1028,8
1028,11
1029,2
1029,7
1029,11
1030,1
1030,2
1030,11
1031,1
1031,11
1032,1
1032,2
1032,8
1032,11
1034,4
1034,5
1034,7
1034,15
1036,0
1036,5
1036,15
1038,7
1039,6
1041,7
1042,4
1042,7
1043,7
1043,13
1044,7
1045,4
1045,7
1046,7
1046,13
1050,6
1050,7
1051,7
1053,5
1053,7
1053,13
1054,7
1055,15
1056,7
1057,4
1057,11
1057,13
1058,7
1059,7
1059,13
1060,4
1060,7
1061,15
1063,7
1065,12
1066,4
1066,11
1066,13
1068,5
1068,9
1070,1
1071,13
1071,16
1073,4
1073,8
1073,11
1077,4
1077,14
1078,4
1078,16
1080,4
1081,4
1081,11
1081,13
1084,5
1084,7
1086,5
1086,12
1086,15
1087,11
1088,7
1088,11
