id,title,year,rating,popularity
1,Toy Story,1995,3.73987,57309
2,Jumanji,1995,3.0669,24228
3,Grumpier Old Men,1995,2.93281,11804
4,Waiting to Exhale,1995,2.57893,2523
5,Father of the Bride Part II,1995,2.84395,11714
6,Heat,1995,3.72863,24588
7,Sabrina,1995,3.18631,12132
8,Tom and Huck,1995,2.91711,1344
9,Sudden Death,1995,2.79686,3711
10,GoldenEye,1995,3.28079,28265
12,Dracula: Dead and Loving It,1995,2.33085,3741
13,Balto,1995,3.13093,1715
14,Nixon,1995,3.25549,5509
15,Cutthroat Island,1995,2.45198,2760
16,Casino,1995,3.69753,18404
17,Sense and Sensibility,1995,3.78014,19729
18,Four Rooms,1995,3.17766,5374
19,Ace Ventura: When Nature Calls,1995,2.31848,21552
20,Money Train,1995,2.68525,3840
21,Get Shorty,1995,3.41662,22277
22,Copycat,1995,3.15415,9237
23,Assassins,1995,2.96619,4108
24,Powder,1995,2.95896,7450
25,Leaving Las Vegas,1995,3.47467,20070
26,Othello,1995,3.44395,2549
27,Now and Then,1995,3.2377,1577
28,Persuasion,1995,3.88479,2950
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,3.44781,1166
31,Dangerous Minds,1995,3.07177,9106
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,3.77924,47054
33,Wings of Courage,1995,2.76558,65
34,Babe,1995,3.36058,31456
35,Carrington,1995,3.29513,1352
36,Dead Man Walking,1995,3.78322,19388
37,Across the Sea of Time,1995,2.68149,75
38,It Takes Two,1995,2.51359,631
39,Clueless,1995,3.2253,26230
41,Richard III,1995,3.69349,4266
42,Dead Presidents,1995,2.86085,2300
43,Restoration,1995,3.28568,2308
44,Mortal Kombat,1995,2.35217,10629
45,To Die For,1995,3.20079,8267
46,How to Make an American Quilt,1995,3.07392,2889
47,Seven (a.k.a. Se7en),1995,3.95071,50596
48,Pocahontas,1995,2.72352,13461
49,When Night Is Falling,1995,3.28051,228
51,Guardian Angel,1994,2.29571,28
52,Mighty Aphrodite,1995,3.37552,8543
53,Lamerica,1994,3.46083,137
55,Georgia,1995,3.02452,851
56,Kids of the Round Table,1995,1.59609,65
57,Home for the Holidays,1995,3.1486,2236
61,Eye for an Eye,1996,3.12894,2088
62,Mr. Holland's Opus,1995,3.54436,18242
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,2.78096,2336
64,Two if by Sea,1996,2.60133,1884
65,Bio-Dome,1996,2.01927,4663
66,Lawnmower Man 2: Beyond Cyberspace,1996,1.81395,2215
67,Two Bits,1995,3.04478,163
68,French Twist (Gazon maudit),1995,3.25831,1124
69,Friday,1995,3.35006,4278
70,From Dusk Till Dawn,1996,3.09883,14118
71,Fair Game,1995,2.05983,1202
72,Kicking and Screaming,1995,3.28492,1179
74,Bed of Roses,1996,3.0912,3235
75,Big Bully,1996,2.11445,526
76,Screamers,1995,2.7963,3235
77,Nico Icon,1995,3.20648,211
81,Things to Do in Denver When You're Dead,1995,3.05383,3007
82,Antonia's Line (Antonia),1995,3.8045,2288
83,Once Upon a Time... When We Were Colored,1995,3.45421,537
84,Last Summer in the Hamptons,1995,3.12334,141
85,Angels and Insects,1995,3.33874,2441
86,White Squall,1996,3.32905,3921
87,Dunston Checks In,1996,2.04055,938
88,Black Sheep,1996,2.88016,4730
89,Nick of Time,1995,2.97287,3095
90,The Journey of August King,1995,3.09019,201
92,Mary Reilly,1996,2.62913,2114
93,Vampire in Brooklyn,1995,2.22109,1936
94,Beautiful Girls,1996,3.38186,3760
95,Broken Arrow,1996,2.88784,20642
96,In the Bleak Midwinter,1995,3.50108,444
98,Shopping,1994,2.33107,83
99,Heidi Fleiss: Hollywood Madam,1995,2.80004,668
100,City Hall,1996,3.1039,3770
101,Bottle Rocket,1996,3.63423,4438
102,Mr. Wrong,1996,2.1417,1841
103,Unforgettable,1996,3.08227,1046
104,Happy Gilmore,1996,3.15229,19190
106,Nobody Loves Me (Keiner liebt mich),1994,3.01044,125
107,Muppet Treasure Island,1996,2.97477,6015
108,Catwalk,1996,2.72374,115
109,Headless Body in Topless Bar,1995,1.59112,16
110,Braveheart,1995,3.83287,59184
111,Taxi Driver,1976,3.95827,29133
112,Rumble in the Bronx (Hont faan kui),1995,3.23244,10958
113,Before and After,1996,2.93645,990
114,Margaret's Museum,1995,3.42588,230
116,Anne Frank Remembered,1995,3.66875,875
118,If Lucy Fell,1996,2.75616,1030
120,Race the Sun,1996,2.60238,142
122,Boomerang,1992,2.66348,3588
123,Chungking Express (Chung Hing sam lam),1994,3.82288,2607
125,Flirting With Disaster,1996,3.59104,3231
128,Jupiter's Wife,1994,3.26221,71
129,Pie in the Sky,1996,2.88307,172
130,Angela,1995,2.88191,42
131,Frankie Starlight,1995,3.1581,169
132,Jade,1995,2.55944,1925
133,Nueba Yol,1995,2.26615,20
134,Sonic Outlaws,1995,3.06777,31
135,Down Periscope,1996,2.75809,5932
136,From the Journals of Jean Seberg,1995,3.28723,90
137,Man of the Year,1995,2.9962,206
139,Target,1995,2.8837,36
140,Up Close and Personal,1996,3.09898,4553
142,Shadows (Cienie),1988,2.66886,37
143,Gospa,1995,1.56737,14
145,Bad Boys,1995,3.07293,12796
149,Amateur,1994,3.51198,1007
150,Apollo 13,1995,3.75484,48377
151,Rob Roy,1995,3.3667,11595
153,Batman Forever,1995,2.66157,31101
154,Beauty of the Day (Belle de jour),1967,3.63631,2889
155,Beyond Rangoon,1995,3.23204,1168
156,Blue in the Face,1995,3.34246,1521
157,Canadian Bacon,1995,2.5537,2432
