movieid,tagid,score
1,19,0.6625
1,29,0.89375
1,63,0.9472499999999999
1,64,0.9842500000000001
1,170,0.55075
1,172,0.533
1,186,0.95475
1,193,0.8145
1,204,0.9597500000000001
1,215,0.815
1,220,0.7445
1,230,0.61675
1,244,0.99875
1,278,0.8420000000000001
1,309,0.83925
1,374,0.8314999999999999
1,377,0.59525
1,412,0.92875
1,414,0.87625
1,417,0.62925
1,469,0.9072499999999999
1,529,0.58325
1,536,0.93675
1,588,0.98
1,589,0.9857499999999999
1,603,0.8747499999999999
1,631,0.1375
1,717,0.87225
1,785,0.9644999999999999
1,887,0.129
1,971,0.91625
1,1028,0.19174999999999998
1,1036,0.99925
1,1062,0.89625
1,1072,0.72425
1,1114,0.694
2,22,0.48450000000000004
2,29,0.976
2,62,0.8672500000000001
2,98,0.59825
2,107,0.8174999999999999
2,204,0.9590000000000001
2,374,0.8494999999999999
2,377,0.9517500000000001
2,584,0.9185000000000001
2,588,0.95
2,662,0.62875
2,882,0.689
2,1026,0.44799999999999995
2,1028,0.45875
3,417,0.487
3,452,0.4495
3,901,0.97525
4,201,0.899
4,313,0.82375
4,850,0.35724999999999996
5,36,0.19874999999999998
5,374,0.8687499999999999
5,650,0.90625
5,808,0.91275
5,901,0.96025
5,1102,0.64475
6,19,0.93025
6,28,0.26049999999999995
6,86,0.56925
6,105,0.9444999999999999
6,128,0.85575
6,143,0.702
6,195,0.8585
6,241,0.89175
6,268,0.9797499999999999
6,276,0.4425
6,300,0.76125
6,302,0.8234999999999999
6,354,0.7645
6,465,0.9424999999999999
6,481,0.9195
6,482,0.8
6,498,0.9570000000000001
6,536,0.9185000000000001
6,594,0.07750000000000001
6,611,0.72375
6,612,0.8374999999999999
6,682,0.61725
6,700,0.63
6,733,0.7405
6,763,0.251
6,780,0.24025000000000002
6,795,0.63625
6,840,0.699
6,841,0.8727499999999999
6,846,0.8775
6,857,0.82525
6,930,0.484
6,985,0.22399999999999998
6,999,0.8085
6,1020,0.8807499999999999
6,1032,0.41674999999999995
6,1055,0.44425000000000003
6,1085,0.881
6,1089,0.8507499999999999
6,1114,0.35375
7,109,0.83325
7,201,0.75
7,230,0.39125
7,613,0.83725
7,614,0.7867500000000001
7,769,0.798
7,846,0.68825
7,849,0.98125
7,863,0.923
8,22,0.9279999999999999
8,107,0.9295
9,19,0.9770000000000001
9,525,0.8640000000000001
10,1,0.9995
10,2,1.0
10,19,0.9724999999999999
10,29,0.80175
10,81,0.8827499999999999
10,151,0.9990000000000001
10,215,0.265
10,273,0.42025
10,285,0.14125
10,361,0.9610000000000001
10,406,0.9697499999999999
10,417,0.11049999999999999
10,448,0.189
10,573,0.8225
10,682,0.34424999999999994
10,896,0.954
10,901,0.41825
10,909,0.07874999999999999
10,955,0.869
10,1025,0.34475
10,1084,0.532
11,278,0.59025
11,439,0.8755
11,800,0.98875
11,811,0.99675
12,379,0.8220000000000001
12,417,0.64775
12,460,0.38425
12,770,0.98275
12,958,0.99275
12,1067,0.80375
12,1069,0.6815
13,40,0.9410000000000001
13,63,0.9795
13,64,0.992
13,316,0.98675
13,317,0.9644999999999999
13,1007,0.978
14,110,0.5655
14,133,0.9735
14,134,0.887
14,135,0.9510000000000001
14,258,0.81325
14,611,0.52775
14,800,0.9179999999999999
14,811,0.9790000000000001
14,1047,0.6515
15,19,0.9764999999999999
15,29,0.97475
15,97,0.245
15,132,0.929
15,528,0.24925000000000003
15,784,0.9902500000000001
15,909,0.0625
15,1005,0.9325000000000001
15,1043,0.9710000000000001
15,1044,0.9977499999999999
16,8,0.76675
16,9,0.4385
16,107,0.72925
16,180,0.1955
16,187,0.99325
16,240,0.849
16,258,0.9179999999999999
16,276,0.45725000000000005
16,329,0.688
16,421,0.9085000000000001
16,423,0.9915
16,424,0.9902500000000001
16,536,0.9357500000000001
16,595,0.9677500000000001
16,611,0.7597499999999999
16,622,0.9950000000000001
16,634,0.88375
16,658,0.9942500000000001
16,691,0.96475
16,725,0.36724999999999997
16,729,0.26349999999999996
16,741,0.9990000000000001
16,787,0.5565
16,793,0.75525
16,929,0.21575
16,981,0.9305000000000001
16,1084,0.966
16,1085,0.98125
17,3,0.98
17,10,0.89175
17,22,0.976
17,107,0.8775
17,155,0.09575
17,158,0.05575000000000002
17,164,0.7842499999999999
17,201,0.83975
17,215,0.53975
17,259,0.9684999999999999
17,348,0.65725
17,497,0.704
17,508,0.48450000000000004
17,606,0.92425
17,774,0.96225
17,863,0.8260000000000001
17,864,0.9577500000000001
17,912,0.529
18,94,0.23149999999999998
18,230,0.588
18,286,0.599
18,382,0.21375
18,403,0.22399999999999998
18,526,0.90375
18,612,0.5495
18,679,0.7995000000000001
18,682,0.51775
18,732,0.41774999999999995
18,1009,0.8005
18,1112,0.41374999999999995
18,1113,0.36575
19,34,0.847
19,93,0.1855
19,230,0.9824999999999999
19,265,0.59375
19,300,0.9722500000000001
19,332,0.9737499999999999
19,455,0.98725
19,505,0.94
19,762,0.37675000000000003
19,815,0.596
19,901,0.9612499999999999
19,920,0.9862500000000001
19,921,0.20500000000000002
19,978,0.7509999999999999
19,1071,0.9552499999999999
20,594,0.37549999999999994
20,705,0.67025
21,39,0.17325000000000002
21,107,0.67825
21,173,0.635
21,268,0.798
21,331,0.39349999999999996
21,417,0.5125
21,421,0.5755
21,423,0.91475
21,514,0.78
21,622,0.7557499999999999
21,661,0.498
21,674,0.5395
21,682,0.43674999999999997
21,877,0.67025
21,919,0.245
21,1042,0.13374999999999998
21,1084,0.5265
22,218,0.38349999999999995
22,300,0.9684999999999999
22,689,0.73375
22,824,0.9052500000000001
22,903,0.99725
22,999,0.938
22,1000,0.9737499999999999
22,1025,0.9019999999999999
23,19,0.9775
23,82,0.9704999999999999
23,199,0.11825000000000002
23,211,0.24825000000000003
23,239,0.19274999999999998
23,369,0.8879999999999999
23,512,0.9397500000000001
23,789,0.3005
24,253,0.22575
24,338,0.45225000000000004
24,791,0.5685
24,812,0.14250000000000002
24,845,0.36
25,22,0.57025
25,25,0.8745
25,42,0.9410000000000001
25,86,0.575
25,107,0.37749999999999995
25,187,0.30974999999999997
25,285,0.8145
25,296,0.9119999999999999
25,323,0.8174999999999999
25,328,0.9782500000000001
